Date,Open,High,Low,Close
05/12/2022,"31,699.04","31,914.46","31,228.22","31,730.30"
05/11/2022,"32,123.24","32,584.02","31,798.86","31,834.11"
05/10/2022,"32,504.09","32,752.17","31,887.89","32,160.74"
05/09/2022,"32,685.17","32,685.17","32,121.98","32,245.70"
05/06/2022,"32,773.88","33,055.84","32,474.69","32,899.37"
05/05/2022,"33,854.17","33,854.17","32,685.10","32,997.97"
05/04/2022,"33,171.80","34,117.74","33,021.84","34,061.06"
05/03/2022,"33,086.09","33,341.58","32,914.75","33,128.79"
05/02/2022,"32,978.49","33,224.95","32,449.87","33,061.50"
04/29/2022,"33,787.01","33,919.59","32,913.15","32,977.21"
04/28/2022,"33,425.96","34,054.79","33,248.46","33,916.39"
04/27/2022,"33,450.92","33,697.18","33,108.89","33,301.93"
04/26/2022,"33,907.49","33,909.51","33,230.95","33,240.18"
04/25/2022,"33,731.65","34,106.01","33,323.37","34,049.46"
04/22/2022,"34,727.38","34,727.38","33,773.39","33,811.40"
04/21/2022,"35,258.80","35,492.22","34,723.82","34,792.76"
04/20/2022,"34,962.67","35,315.40","34,962.67","35,160.79"
04/19/2022,"34,394.62","34,983.11","34,394.62","34,911.20"
04/18/2022,"34,411.49","34,618.29","34,279.08","34,411.69"
04/14/2022,"34,628.46","34,889.17","34,437.50","34,451.23"
04/13/2022,"34,166.64","34,598.36","34,140.64","34,564.59"
04/12/2022,"34,412.51","34,669.97","34,102.81","34,220.36"
